WKT,name,description
"POLYGON ((-71.8101685 42.2736597, -71.8102543 42.2735506, -71.8100156 42.2734295, -71.8099673 42.273495, -71.8101685 42.2736597))",Zone 1
,
"POLYGON ((-71.8074405 42.2746281, -71.8076041 42.2746439, -71.8076524 42.2744465, -71.8074767 42.2744256, -71.8074405 42.2746281))",Zone 2
,
"POLYGON ((-71.8056853 42.273938, -71.8058999 42.2739638, -71.8059227 42.2738537, -71.8057014 42.2738279, -71.8056853 42.273938))",Zone 3
,
"POLYGON ((-71.8054423 42.2730998, -71.8056247 42.2731177, -71.8056582 42.272954, -71.8054718 42.2729272, -71.8054423 42.2730998))",Zone 4
,
